"LGA","Density","Installations","Capacity","IRSAD","Median Age - Persons (years)","Population density (persons/km2)","Total born overseas (%)","Bachelor Degree (%)","Completed Year 12 or equivalent (%)"
"Adelaide (C)",19.6,1337,10338,1058,30.8,1512.3,44.2,24.4,72.5
"Adelaide Hills (DC)",37.6,6478,34190,1072,43.8,49.9,16.9,19.5,56.9
"Albany (C)",16.4,2987,11065,968,42.4,8.6,18.9,9.6,40.5
"Albury (C)",18.8,5115,27597,956,38.3,170.5,10.8,11.3,41.2
"Alexandrina (DC)",43.9,7185,28037,961,50,14.5,16.2,9.1,38.4
"Alpine (S)",25.2,1783,8101,970,48.5,2.6,13.7,10.7,38.2
"Anangu Pitjantjatjara (AC)",1.9,20,226,717,27.3,0,2.9,4.6,20.4
"Ararat (RC)",20.1,1108,4885,931,45.7,2.8,9.5,7.6,32.2
"Armadale (C)",33.6,12402,49575,985,33.3,146.6,34.5,11.6,48.5
"Armidale Regional (A)",20.3,2690,13380,976,35.6,3.5,12.3,13.6,50.9
"Ashburton (S)",2.1,84,652,1011,36,0.1,26.5,8.5,41.9
"Augusta-Margaret River (S)",19.3,1653,7575,1005,39,7,21.1,15.8,52.2
"Aurukun (S)",0.7,5,91,641,28.4,0.2,2.1,2.4,16.4
"Ballarat (C)",13.4,6630,33953,965,37.3,140,9.5,12.8,45.3
"Ballina (A)",36.4,7314,29350,987,47.1,88.7,11,13.6,41.6
"Balonne (S)",25.4,606,3614,963,39,0.1,6,8.9,39.5
"Balranald (A)",15.8,211,154436,927,40.2,0.1,6.3,5.2,28.5
"Banana (S)",25.3,1755,8674,973,36.7,0.5,8.2,7.6,38.2
"Banyule (C)",12.2,5979,24481,1055,39.1,2037.8,23.4,20.6,60.9
"Barcaldine (R)",20.4,381,38190,972,41.4,0.1,5.7,9.3,39.4
"Barcoo (S)",15,30,221,965,45.5,0,3.4,5.2,32.8
"Barossa (DC)",42.6,4878,28503,987,43.1,27.1,11.4,9.8,40.4
"Barunga West (DC)",39.9,774,3265,934,54,1.6,7.8,5.4,28.4
"Bass Coast (S)",19.1,5162,22679,945,49.1,38.7,14.4,9.2,36.6
"Bassendean (T)",25.7,1802,6979,1008,38.5,1509.2,28.6,15.6,52.7
"Bathurst Regional (A)",17.9,3383,17636,973,36.4,11.1,8.6,11.3,42.3
"Baw Baw (S)",25.4,5582,26049,976,41.8,12.2,10.8,9.6,38.2
"Bayside (C)",10.4,3989,16937,1125,43.4,2765.6,25.3,26.3,68.1
"Bayswater (C)",21.5,6262,23490,1024,37.2,1987.2,39.2,18.4,58.4
"Bega Valley (A)",26.1,4607,17111,951,50.3,5.4,11.6,10.5,37.7
"Bellingen (A)",32.8,2037,7903,954,48.1,8.1,11.8,13.4,40.3
"Belmont (C)",19,3435,15695,987,34.3,1040.8,40.5,15.4,53.4
"Benalla (RC)",26.6,1731,7455,936,48.6,5.9,7.8,8,34.4
"Berri and Barmera (DC)",35.8,2019,15177,899,44.2,22.8,11.8,6.7,32.6
"Berrigan (A)",29.7,1404,183759,935,48.3,4.2,7.7,7,29.5
"Beverley (S)",39.7,362,1205,947,51.4,0.7,17.2,6.8,32.5
"Blackall-Tambo (R)",19.8,227,1428,940,46.1,0.1,4.5,6.3,34.4
"Blacktown (C)",21.2,23897,95630,993,33.3,1449.8,40.4,15.5,55.3
"Bland (A)",23.2,707,4946,954,41.8,0.7,4.8,6.8,28
"Blayney (A)",19.9,669,3615,965,41.5,4.8,6.2,9.5,35.5
"Blue Mountains (C)",21.1,7296,25625,1042,43.5,55.1,16.8,17.6,54.8
"Boddington (S)",26.8,239,1079,978,39.7,1,17.2,8.6,37
"Bogan (A)",30.8,431,104116,938,40,0.2,4.5,7.3,30.1
"Boroondara (C)",10.1,5578,23997,1128,37.7,2945.9,30.9,30.3,74.8
"Boulia (S)",15.8,47,356,872,33.8,0,5.4,3.4,31.3
"Bourke (A)",32.9,485,2835,932,35.8,0.1,3.8,8.2,28.4
"Boyup Brook (S)",20.3,202,794,974,48.1,0.6,13.6,8.9,38.1
"Brewarrina (A)",24.6,180,938,818,32.5,0.1,2.1,6.4,24.5
"Bridgetown-Greenbushes (S)",25.1,630,2304,959,48.5,3.5,22.6,9.6,39.3
"Brimbank (C)",16.6,11766,49970,930,35.2,1654.7,47.8,12.1,52.3
"Brisbane (C)",33.2,124091,536088,1060,34.5,882.4,30.6,22.1,66.7
"Broken Hill (C)",40.2,3913,66981,887,44,106.5,4.5,6,24.9
"Brookton (S)",28.8,145,709,938,46.2,0.6,10.5,5.8,34
"Broome (S)",3.7,490,5695,979,32.7,0.3,14.9,12.5,44.5
"Broomehill-Tambellup (S)",16.7,87,339,950,37.8,0.4,9.9,7.7,38.1
"Bruce Rock (S)",34.5,171,729,962,45.3,0.3,12.2,9.2,39
"Bulloo (S)",25.6,59,719,970,41.2,0,6.2,4.5,34.3
"Buloke (S)",24.9,829,4469,949,50.5,0.8,5.5,7.4,30
"Bunbury (C)",25.3,3713,14467,941,40.5,497.9,20.5,9.8,38
"Bundaberg (R)",37.3,16570,143988,909,44.6,14.7,11.9,7.5,34.3
"Burdekin (S)",34.8,2916,274821,934,43.8,3.4,8.3,6.3,33.9
"Burke (S)",5.7,10,182,921,36.2,0,7,4.7,33.9
"Burnside (C)",28.1,5665,27542,1100,43.4,1643.1,30.4,27.4,69.2
"Burwood (A)",10.7,844,3624,1043,33,5406.2,57.2,23.2,70.4
"Busselton (C)",25.8,5505,22331,993,41.6,26,18.2,11.1,43.4
"Byron (A)",36.2,5612,24163,1003,44,59,17.8,17.2,50.7
"Cabonne (A)",24.6,1554,63890,997,42.3,2.3,5.9,10.6,37.3
"Cairns (R)",28,17088,89304,971,36.9,95.6,21.4,11.9,49
"Cambridge (T)",23.5,2189,9843,1153,39.5,1274.9,29.1,31.8,72.6
"Camden (A)",20.3,6364,32638,1056,33,399.3,17.6,11.7,47.2
"Campaspe (S)",28.4,5164,27440,943,44.6,8.3,6.8,7.4,30.6
"Campbelltown (C) (NSW)",20.5,11569,45160,948,34,518,31.4,10.6,47.4
"Canada Bay (A)",10.1,1896,9007,1107,36.4,4644.5,40.5,24.8,68.3
"Canning (C)",32.6,11802,46995,1031,34.3,1444.7,50.2,20.5,63.5
"Canterbury-Bankstown (A)",12.2,11617,51080,961,35,3282.6,44,14,55.7
"Capel (S)",30.1,2370,8911,1009,35.7,31.1,21.8,11.4,43.8
"Cardinia (S)",20.4,8484,39646,996,33.9,76.1,18.9,9.8,44.6
"Carnamah (S)",22,92,499,968,44.7,0.2,14.4,5.3,36.5
"Carnarvon (S)",3.6,229,3347,942,38.3,0.1,17.3,7.9,33.2
"Carpentaria (S)",9.4,144,6199,874,37.5,0,7.3,5.4,28.4
"Carrathool (A)",20.7,309,4114,964,38.9,0.1,9.7,8.4,33.6
"Casey (C)",24.1,27170,110351,991,33.6,764,38.2,11.7,52.3
"Cassowary Coast (R)",23.3,3339,18546,912,43.4,6.2,13.9,6.7,36.2
"Ceduna (DC)",25.2,546,3181,942,38,0.7,6.6,6.8,30.4
"Central Coast (C) (NSW)",17.9,24879,104114,975,41.8,200.2,14.6,10.3,40.3
"Central Darling (A)",29.7,339,1711,855,37,0,4.4,4.2,22.4
"Central Goldfields (S)",26.7,1881,9531,870,49.5,8.5,8.9,5.5,29.3
"Cessnock (C)",21.6,5303,25230,904,37.4,28.9,6.3,5.6,27.5
"Chapman Valley (S)",26.5,168,750,1028,42.9,0.4,13.1,10.4,38.4
"Charles Sturt (C)",29,14659,65518,980,40.7,2098.7,27.5,14.7,51.6
"Charters Towers (R)",21.9,1303,6681,914,39.7,0.2,5.5,6.5,33.2
"Cherbourg (S)",24.8,133,614,566,21.1,40.9,0.4,0,15.9
"Chittering (S)",44.5,1068,5171,1025,42.5,4.5,23.1,6.3,36.6
"Clare and Gilbert Valleys (DC)",36.9,1779,9035,976,46,4.9,9.4,10.5,38.3
"Claremont (T)",24.9,936,5277,1133,42.1,2145.5,29.7,31,71.3
"Clarence Valley (A)",30.1,7434,32348,908,48.2,5,7.5,7.4,30.1
"Cleve (DC)",34.5,391,1874,981,43.4,0.4,4.7,7,35
"Cloncurry (S)",10.2,191,1443,946,34,0.1,8.6,8.3,38.9
"Cobar (A)",34.7,799,3466,951,35.4,0.1,7,6.8,29.5
"Cockburn (C)",33.2,14838,62764,1033,35.3,645,34.1,14.6,53.4
"Coffs Harbour (C)",27.3,8213,33783,954,43.1,63.6,13.9,11.1,38.7
"Colac-Otway (S)",14.4,1873,10446,939,44,6.2,8.6,8.5,35.7
"Collie (S)",30.1,1271,4609,899,40.5,5.2,11.2,4.3,26.7
"Coober Pedy (DC)",1.3,27,9595,884,44.9,23.4,26,7.9,33
"Cook (S)",12.7,294,16518,915,41.1,0,13.8,7.8,36.7
"Coolamon (A)",25.2,490,2457,960,43.2,1.8,3.8,7.8,29.1
"Coolgardie (S)",9.6,190,1107,905,33.2,0.1,18.3,4.4,28.3
"Coonamble (A)",31.1,656,3379,883,42.3,0.4,2.7,6.2,27.7
"Coorow (S)",21.6,215,18563,938,51.2,0.3,11,6.1,31
"Copper Coast (DC)",38.4,3516,15057,898,49.8,18.7,9.1,5.5,27.3
"Corangamite (S)",17.1,1431,9010,959,45.5,3.7,6.3,7.9,32.5
"Corrigin (S)",31.6,184,752,967,44.1,0.4,10.2,7.9,36.8
"Cottesloe (T)",18.8,558,2594,1163,41.5,2102.7,25,35.1,75.1
"Cowra (A)",21.7,1328,7028,910,45.8,4.5,6.1,7.1,28.4
"Cranbrook (S)",14.5,87,429,972,44.9,0.3,16,6.7,38.3
"Croydon (S)",18.9,30,191,897,40.8,0,3.7,5.2,22.7
"Cuballing (S)",34.7,147,596,988,46.1,0.7,12.4,5.8,33.2
"Cue (S)",11,18,82,905,48.5,0,13.9,4.8,29.5
"Cumberland (A)",13.5,7285,32853,959,32.6,3154.3,52.2,15.3,57.5
"Cunderdin (S)",26,172,1024,983,37.1,0.8,16.8,6.7,38.7
"Dalwallinu (S)",21.8,161,858,1014,37.6,0.2,17.7,7.6,46.5
"Dandaragan (S)",21.7,694,28990,983,46.9,0.5,13.5,7.6,35
"Dardanup (S)",36,2237,8169,980,36.5,27.1,16.6,7.7,37.5
"Darebin (C)",12.1,7265,28104,1020,35.7,2901.1,33.2,20.9,62.7
"Denmark (S)",21.2,744,2882,988,48.3,3.2,22.7,13.7,47
"Derby-West Kimberley (S)",2.1,137,2164,796,29.6,0.1,7.9,6.8,30.8
"Diamantina (S)",6.5,20,161,979,29.7,0,6.2,9.2,43.1
"Donnybrook-Balingup (S)",34.6,1073,4341,980,45.9,3.8,17.3,9.3,36.1
"Doomadgee (S)",5.9,46,1036,660,21.3,0.8,1.6,2.7,15
"Douglas (S)",26,1605,8511,959,43,5,20,10,45.1
"Dowerin (S)",18.7,77,364,980,42.8,0.4,8,6.6,38.8
"Dumbleyung (S)",19.4,79,396,996,42.3,0.3,9.2,11.9,47.6
"Dundas (S)",5.8,40,320,873,46.3,0,19.8,4.6,24.3
"Dungog (A)",24.1,1099,5562,973,44.5,4,4.8,8.9,31.8
"East Fremantle (T)",23.7,669,2679,1119,42.3,2447.1,23.6,26.7,67.5
"East Gippsland (S)",23.6,6121,26711,937,49.6,2.2,10.8,7.9,33.5
"East Pilbara (S)",2.1,98,1999,945,33.6,0,19.9,7.1,37
"Edward River (A)",23.3,1056,6435,941,44.3,1,6.4,7.7,32.3
"Elliston (DC)",26.9,191,1059,969,45.9,0.2,6,8.7,36.3
"Esperance (S)",8.5,573,2462,975,39.3,0.3,12.4,7.3,36.4
"Etheridge (S)",19,84,63698,929,45,0,6.9,4.9,25.7
"Eurobodalla (A)",20.6,4768,19442,938,53.1,11.1,13.3,9.2,36.3
"Exmouth (S)",3.7,154,2004,1007,37.3,0.4,16.3,11.6,43
"Fairfield (C)",18.5,10428,48635,896,36.1,2026.2,53.9,9.2,48.2
"Federation (A)",33,2087,11497,936,48.4,2.2,6.9,6.4,29.9
"Flinders Ranges (DC)",38.1,435,1804,921,48.7,0.4,6.9,7.4,29.7
"Forbes (A)",17.5,852,5088,937,41.2,2.1,4,7.7,32
"Franklin Harbour (DC)",30.4,308,1461,942,48.9,0.5,5.2,3.8,27.9
"Frankston (C)",16.2,9965,41169,981,38,1076.4,21.4,10.5,46.4
"Fraser Coast (R)",39.5,19686,173879,899,47.5,14.5,13.9,6.7,32.7
"Fremantle (C)",22.7,2961,11280,1047,41.5,1594.4,30.1,22.1,59.7
"Gannawarra (S)",27.6,1580,70110,934,48.7,2.8,5.2,6.2,26.1
"Gawler (T)",35.8,3936,17744,936,40.8,567.7,17.6,7.7,38.9
"Georges River (A)",12.2,4502,17977,1043,36.4,3994.2,45.5,20.5,65.1
"Gilgandra (A)",31.2,660,3054,906,44.6,0.9,3.6,7,27.4
"Gingin (S)",27.7,1229,6504,958,46.9,1.7,23.5,6.6,34.8
"Gladstone (R)",29.3,8538,37143,964,35.3,6,14.4,8.6,42
"Glen Eira (C)",9.7,4626,18240,1092,36.8,3840.3,36,27,71.2
"Glen Innes Severn (A)",23.8,1049,25337,909,46.6,1.6,6.6,6.8,28.9
"Glenelg (S)",18.3,1840,7743,925,46.6,3.2,7.6,6.7,30.2
"Gnowangerup (S)",17.6,133,651,990,41,0.3,14.1,7.8,40.7
"Gold Coast (C)",34.9,69234,305394,1009,38.1,431.4,28.2,12.6,51.9
"Golden Plains (S)",28.5,2642,12099,1004,39,8.1,9.3,9.9,40.5
"Goomalling (S)",26,138,721,963,45,0.6,9.7,7.2,37.3
"Goondiwindi (R)",25.3,1299,7896,957,38.9,0.6,5.9,8.8,38.7
"Gosnells (C)",36.1,17228,61426,981,34.2,958.5,43.2,12.5,50.4
"Goulburn Mulwaree (A)",17.6,2631,14875,946,41.3,9.4,9.9,8,35.1
"Goyder (DC)",32.9,766,3409,934,47.5,0.6,9.9,6.2,31.9
"Grant (DC)",26.2,1065,6689,983,43.2,4.4,7.3,6.2,30.7
"Greater Bendigo (C)",20.7,11314,52196,961,38.3,37.4,8,11.4,41.2
