"LGA","Density","Installations","Capacity","IRSAD","Median Age - Persons (years)","Population density (persons/km2)","Total born overseas (%)","Bachelor Degree (%)","Completed Year 12 or equivalent (%)"
"Maitland (C)",21.5,7417,38888,966,35.4,201.9,7.9,9.4,37.2
"Mandurah (C)",37.1,15815,53005,958,42.7,476.4,27.5,8,39.4
"Manjimup (S)",17.5,945,4934,944,44.2,1.3,15,7.4,35.6
"Manningham (C)",13.2,5840,25028,1076,42.6,1081.4,39.8,22.1,63.5
"Mansfield (S)",21.5,1337,6745,986,47,2.3,11,10.6,39.8
"Mapoon (S)",0,0,3,763,27.4,0.6,1,3.6,19.6
"Maranoa (R)",29.2,2092,8942,982,36,0.2,7.1,9.1,39.6
"Mareeba (S)",27.8,2952,16613,926,42.6,0.4,16.5,7.9,35.7
"Maribyrnong (C)",10.6,3176,14120,1019,33.5,2784.3,40,22.7,66.1
"Marion (C)",32.2,12696,50881,991,38.6,1626.7,27.3,15.8,54.2
"Maroondah (C)",13.4,6333,28106,1034,38,1869.4,23.1,16.5,55.3
"McKinlay (S)",14.8,89,3861,992,38.6,0,7.3,8.9,40.6
"Meekatharra (S)",16,57,11233,862,34.1,0,14.1,7.6,30.6
"Melbourne (C)",7.5,975,11138,1071,28.3,3911.4,55.7,30,77
"Melton (C)",20.4,10832,43628,981,32.7,268.1,29.9,11.7,50.9
"Melville (C)",27.3,11451,44045,1089,40.7,1936.4,34.4,23.4,64.2
"Menzies (S)",6.8,12,103,804,35.8,0,15.1,6.8,32.4
"Merredin (S)",24.3,417,3018,953,37.1,1,15.5,7.3,39
"Mid-Coast (A)",26.9,12125,49412,911,51.3,9.1,9.3,7.3,29.3
"Mid-Western Regional (A)",21.1,2633,124327,942,41.4,2.8,7.5,8.4,32.9
"Mid Murray (DC)",34.2,2395,13244,900,50.3,1.4,10.6,5.1,27.9
"Mildura (RC)",18.3,4769,148788,921,39.7,2.5,10.8,7.8,33.5
"Mingenew (S)",23.3,76,384,992,41.3,0.2,8.6,9.5,40.5
"Mitcham (C)",34.7,8969,41442,1070,41.2,880,22.5,23.4,63.3
"Mitchell (S)",24.9,4463,18988,972,36.7,14.6,11.5,7.5,38.8
"Moira (S)",32.6,4763,154762,930,45.9,7.3,9.2,6.4,30.1
"Monash (C)",14,9288,39364,1060,36.4,2364,48.9,22.6,67.9
"Moonee Valley (C)",11.2,4801,19618,1046,37.7,2848.3,27.6,21.2,61.1
